section;in_resume;title;loc;institution;start;end;description_1;description_2;description_3
education;TRUE;PhD. Fellow, Macroeconomics;Aalborg University;Aalborg, Denmark;2016;2020;Working on structural econometric models of the main institutional sectors of the economy;Project participant in micro-data analysis of Danish graduate migration;NA
education;TRUE;Master of Commerce, Financial Markets;Rhodes University;Grahamstown, South Africa;2008;2015;University based courses and industry entrance examinations for financial and derivatives markets;Thesis: Balance sheet sources of change in the money stock;NA
research_positions;TRUE;Research Assistant;Aalborg University;Aalborg, Denmark;2016;2016;Data sourcing and preparation for modelling purposes;Extension of writing from master's thesis;NA
research_positions;FALSE;Undergraduate Researcher;Bentil Laboratory;University of Vermont;2013;2014;Developed mathematical model to predict the transport of sulfur through the environment with applications in waste cleanup.;NA;NA
research_positions;FALSE;Undergraduate Researcher;Rubenstein Ecosystems Science Laboratory;University of Vermont;2013;2015;Analyzed and visualized data for CATOS fish tracking project.;Head of data mining project to establish temporal trends in population densities of Mysis diluviana (Mysis).;Ran project to mathematically model the migration patterns of Mysis (honors thesis project.)
research_positions;FALSE;Human Computer Interaction Researcher;LabInTheWild (Reineke Lab);University of Michigan;2015;2015;Led development and implementation of interactive data visualizations to help users compare themselves to other demographics.;NA;NA
research_positions;FALSE;Graduate Research Assistant;TBILab (Yaomin Xu's Lab);Vanderbilt University;2015;2020;Primarily working with large EHR and Biobank datasets.;Developing network-based methods to investigate and visualize clinically relevant patterns in data.;NA
research_positions;FALSE;Data Science Researcher;Data Science Lab;Johns Hopkins University;2017;2018;Building R Shiny applications in the contexts of wearables and statistics education.;Work primarily done in R Shiny and Javascript (node and d3js).;NA
industry_positions;TRUE;Operations Manager;Asset Protection International (API);Port Shepstone, RSA;2012;2014;;NA;NA
industry_positions;TRUE;Operations Consultant;Asset Protection International (API);Port Shepstone, RSA;2014;2015;;NA;NA
industry_positions;TRUE;Research analyst;Frost & Sullivan International;Cape Town, RSA;2011;2012;;NA;NA
industry_positions;FALSE;Data Artist In Residence;Conduce;Carpinteria, CA;2014;2015;Envisioned, prototyped and implemented visualization framework in the course of one month.;Constructed training protocol for bringing third parties up to speed with new protocol.;NA
industry_positions;FALSE;Data Journalist - Graphics Department;New York Times;New York, New York;2016;2016;Reporter with the graphics desk covering topics in science, politics, and sport.;Work primarily done in R, Javascript, and Adobe Illustrator.;NA
teaching_positions;TRUE;Mathematics for economists: Linear Algebra;Aalborg University;Aalborg, Denmark;2018;2019;Lecturer;A basic introduction to linear algebra with simple applications in R;Undergraduate class
teaching_positions;FALSE;Advanced Statistical Learning and Inference;Vanderbilt Biostatistics Department;Nashville, TN;2017;2018;TA and lectured;Topics covered from penalized regression to boosted trees and neural networks;Highest level course offered in department
teaching_positions;FALSE;Advanced Statistical Computing;Vanderbilt Biostatistics Department;Nashville, TN;2018;2018;TA and lectured;Covered modern statistical computing algorithms;4th year PhD level class
teaching_positions;FALSE;Data Visualization Best Practices;DataCamp;N/A;2019;2019;Designed from bottom up course to teach best practices for scientific visualizations.;Uses R and ggplot2.;In top 10% on platform by popularity.
teaching_positions;FALSE;Improving your visualization in Python;DataCamp;N/A;2019;2019;Designed from bottom up course to teach advanced methods for enhancing visualization.;Uses python, matplotlib, and seaborn.;NA
data_science_writings;FALSE;[Classifying physical activity from smartphone data](https://blogs.rstudio.com/tensorflow/posts/2018-07-17-activity-detection/);RStudio Tensorflow Blog;NA;NA;2018;Walk through of training a convolutional neural network to achieve state of the art recognition of activities from accelerometer data.;Contracted article.;NA
data_science_writings;FALSE;[Using AWK and R to Parse 25tb](https://livefreeordichotomize.com/2019/06/04/using_awk_and_r_to_parse_25tb/);LiveFreeOrDichotomize.com;NA;NA;2019;Story of parsing large amounts of genomics data.;Provided advice for dealing with data much larger than disk.;Reached top of HackerNews.
data_science_writings;FALSE;[The United States of Seasons](https://livefreeordichotomize.com/2018/02/12/the-united-states-of-seasons/);LiveFreeOrDichotomize.com;NA;NA;2018;GIS analysis of weather data to find the most 'seasonal' locations in United States;Used Bayesian regression methods for smoothing sparse geospatial data.;NA
